@relation 'featureTesting_1-weka.filters.unsupervised.attribute.NumericToNominal-R1-4,9-weka.filters.unsupervised.attribute.NominalToString-C1-4,9'

@attribute geid string
@attribute gseason string
@attribute gweek string
@attribute htid string
@attribute hthwr numeric
@attribute htowr numeric
@attribute hthtor numeric
@attribute hthtop numeric
@attribute atid string
@attribute atawr numeric
@attribute atowr numeric
@attribute atator numeric
@attribute atatop numeric
@attribute gw {h,a}

@data
2015112907,2015,12,8,0,0.125,1.875,0.478229,15,0.375,0.5,1.5,0.486944,a
2015112908,2015,12,14,0.625,0.5,1.125,0.482014,9,0.5,0.5625,1.375,0.49941,h
2015112909,2015,12,30,0.5,0.3125,1.125,0.444495,29,0.75,0.75,1.875,0.542465,a
2015112910,2015,12,31,0.75,0.6875,0.875,0.49875,4,0.625,0.6875,1.375,0.528194,h
2015112911,2015,12,13,0.875,0.8125,1.875,0.525572,11,0.75,0.8125,1.125,0.47158,h
2015113000,2015,12,3,0.125,0.125,1.625,0.45037,1,0.375,0.4375,2,0.487306,a
2015120300,2015,13,18,0.5,0.375,1.625,0.531272,19,0.625,0.6875,0.75,0.504201,a
2015120600,2015,13,27,0.5,0.5,0.75,0.480322,12,0.625,0.5625,1,0.527629,a
2015120601,2015,13,9,0.625,0.5625,1.125,0.507604,5,0.375,0.5625,1.25,0.486701,h
2015120602,2015,13,10,0.375,0.375,1.375,0.452847,1,0.25,0.375,2.125,0.50366,h
2015120603,2015,13,3,0.125,0.125,1.625,0.456446,2,0.75,0.75,1.125,0.538681,a
2015120604,2015,13,8,0.125,0.1875,2,0.485764,7,0.125,0.3125,1.25,0.457515,h
2015120605,2015,13,17,0.125,0.3125,1.625,0.511034,30,0.125,0.3125,0.875,0.460181,a
2015120606,2015,13,20,0.75,0.625,1.25,0.480653,31,0.625,0.6875,1.25,0.550682,a
2015120607,2015,13,23,0.375,0.375,1.75,0.490042,22,1,1,0.875,0.560556,a
2015120608,2015,13,24,0.375,0.375,2,0.491181,21,0.5,0.4375,0.875,0.516806,h
2015120609,2015,13,32,0.375,0.3125,1.75,0.430638,29,0.75,0.75,1.875,0.553681,a
2015120610,2015,13,15,0.5,0.4375,1.375,0.520729,14,0.5,0.5625,0.75,0.519063,a
2015120611,2015,13,16,0.25,0.3125,1.875,0.487604,13,0.75,0.8125,1.875,0.485568,a
2015120612,2015,13,11,0.75,0.75,0.625,0.524028,26,0.5,0.4375,1.25,0.418168,a
2015120613,2015,13,4,0.75,0.6875,1.5,0.47259,6,0.5,0.5625,2.25,0.479981,h
2015120700,2015,13,28,0.625,0.3125,1.25,0.577951,25,0.625,0.4375,1.75,0.575475,a
2015121000,2015,14,29,0.75,0.75,1,0.507604,20,0.5,0.625,1.125,0.512535,h
2015121300,2015,14,26,0.375,0.4375,2.625,0.417431,9,0.5,0.5625,1.375,0.517778,h
2015121301,2015,14,12,0.625,0.625,1.625,0.520451,8,0.25,0.1875,1.75,0.510108,h
2015121302,2015,14,2,0.75,0.75,1.5,0.501493,4,0.625,0.6875,1.375,0.519792,a
2015121303,2015,14,5,0.625,0.5,1.25,0.534653,11,0.875,0.8125,1.25,0.496199,a
2015121304,2015,14,7,0.625,0.375,1.5,0.470799,6,0.5,0.5625,2.125,0.493071,h
2015121305,2015,14,14,0.75,0.625,1,0.497951,16,0.25,0.25,1.625,0.53613,h
2015121306,2015,14,17,0.125,0.3125,1.375,0.509264,28,0.125,0.375,2.125,0.479613,a
2015121307,2015,14,22,1,1,1.25,0.536528,21,0.5,0.4375,1.25,0.51995,h
2015121308,2015,14,24,0.375,0.375,1.875,0.494097,23,0.375,0.375,1.75,0.510382,a
2015121309,2015,14,32,0.5,0.375,1.75,0.431818,18,0.25,0.375,1.75,0.471944,h
2015121310,2015,14,3,0.25,0.1875,1.625,0.468356,30,0.125,0.3125,0.625,0.45032,h
2015121311,2015,14,13,0.75,0.75,2,0.529079,15,0.5,0.5,1.375,0.474514,a
2015121312,2015,14,19,0.75,0.6875,1,0.511076,25,0.5,0.375,1.75,0.534398,h
2015121313,2015,14,1,0.5,0.375,1.25,0.478049,31,0.625,0.6875,1.125,0.537731,a
2015121400,2015,14,10,0.375,0.375,1.5,0.452396,27,0.5,0.5,1.375,0.483576,a
2015121700,2015,15,32,0.625,0.4375,1.375,0.439006,24,0.375,0.375,1.375,0.472942,h
2015121900,2015,15,25,0.25,0.375,1.875,0.521658,12,0.625,0.625,1.125,0.532282,a
2015122000,2015,15,27,0.375,0.4375,0.875,0.48376,22,1,1,1,0.549861,a
2015122001,2015,15,26,0.375,0.4375,2.875,0.426736,29,0.875,0.8125,1.5,0.567986,a
2015122002,2015,15,20,0.75,0.625,1,0.492014,17,0.5,0.3125,1,0.515256,h
2015122003,2015,15,7,0.5,0.3125,1.625,0.471458,21,0.5,0.4375,1.375,0.52495,a
2015122004,2015,15,6,0.5,0.5,1.75,0.49495,5,0.375,0.5,1.5,0.489722,a
2015122005,2015,15,11,0.875,0.875,0.75,0.52125,8,0.25,0.1875,1.625,0.517712,h
2015122006,2015,15,1,0.375,0.3125,1.5,0.476764,14,0.625,0.6875,0.625,0.521563,a
2015122007,2015,15,28,0.75,0.4375,0.875,0.57684,9,0.375,0.5,1.25,0.521701,h
2015122008,2015,15,31,0.75,0.6875,0.75,0.510382,3,0.125,0.1875,2,0.518479,h
2015122009,2015,15,15,0.375,0.4375,1.625,0.515729,19,0.75,0.75,0.75,0.509306,a
2015122010,2015,15,4,0.75,0.6875,1.375,0.485576,13,0.75,0.75,1.625,0.486331,h
2015122011,2015,15,16,0.375,0.3125,1.875,0.511806,10,0.375,0.375,1.125,0.455729,h
2015122012,2015,15,30,0.5,0.3125,1.25,0.446042,2,0.75,0.75,1.125,0.522257,a
2015122100,2015,15,23,0.375,0.375,1.5,0.503376,18,0.25,0.375,1.5,0.467083,a
2015122400,2015,16,15,0.375,0.4375,1.75,0.506279,16,0.125,0.25,1.375,0.534103,h
2015122600,2015,16,26,0.375,0.4375,2.625,0.442708,28,0.25,0.5,2,0.475794,a
2015122700,2015,16,23,0.5,0.4375,1,0.524279,7,0.125,0.3125,1.375,0.43755,h
2015122701,2015,16,10,0.25,0.3125,1.375,0.451806,6,0.5,0.5,2.125,0.480051,a
2015122702,2015,16,12,0.75,0.6875,1.625,0.521062,11,0.75,0.8125,1.125,0.481213,h
2015122703,2015,16,8,0.125,0.1875,2.375,0.479965,5,0.5,0.5625,1.375,0.500417,a
2015122704,2015,16,14,0.75,0.6875,1,0.495729,3,0.125,0.1875,1.875,0.519208,h
2015122705,2015,16,18,0.5,0.375,1.625,0.55464,30,0.125,0.3125,0.75,0.434625,h
2015122706,2015,16,20,0.75,0.625,0.875,0.505556,27,0.375,0.375,1.75,0.463299,h
2015122707,2015,16,21,0.5,0.5,2.5,0.535154,22,0.875,0.9375,1.125,0.53559,h
2015122708,2015,16,24,0.375,0.375,2.125,0.473611,17,0.625,0.375,1,0.526714,a
2015122709,2015,16,9,0.625,0.5,1.125,0.508819,25,0.375,0.3125,1.875,0.53044,h
2015122710,2015,16,29,0.75,0.8125,1.25,0.508125,19,0.625,0.6875,1.125,0.490764,h
2015122711,2015,16,31,0.625,0.625,0.875,0.512292,32,0.25,0.4375,1.75,0.471145,a
2015122712,2015,16,1,0.375,0.3125,1.5,0.487285,4,0.5,0.625,1.625,0.505035,h
2015122800,2015,16,13,0.75,0.75,1.75,0.527116,2,0.75,0.75,0.875,0.52113,h
