"geid","gseason","gweek","htabbr","hthwr","htowr","htcwr","hthtor","hthtop","atabbr","atawr","atowr","atcwr","atator","atatop","gw"
"2015111506",2015,10,"BAL",0.5,0.4375,0.6057692170143127,0.75,0.48600009083747864,"JAC",0.125,0.3125,0.29807692766189575,1.375,0.4564386010169983,"a"
"2015111507",2015,10,"PIT",0.75,0.6875,0.6190476417541504,1.25,0.4643605649471283,"CLE",0.125,0.1875,0.3047619163990021,2,0.5111874341964722,"h"
"2015111508",2015,10,"OAK",0.625,0.4375,0.3461538553237915,1.125,0.511597216129303,"MIN",0.375,0.625,0.4711538553237915,1,0.5012847185134888,"a"
"2015111509",2015,10,"NYG",0.5,0.5,0.5142857432365417,0.75,0.4988194406032562,"NE",0.875,0.875,0.7788461446762085,1.25,0.4912152886390686,"a"
"2015111510",2015,10,"DEN",0.875,0.8125,0.625,1.75,0.5165972113609314,"KC",0.25,0.4375,0.4423076808452606,0.75,0.5209375023841858,"a"
"2015111511",2015,10,"SEA",0.75,0.6875,0.567307710647583,1.25,0.5049999952316284,"ARI",0.625,0.6875,0.5288461446762085,2.25,0.512256920337677,"a"
"2015111600",2015,10,"CIN",0.625,0.75,0.5961538553237915,1.75,0.49545079469680786,"HOU",0.5,0.5625,0.49038460850715637,1.25,0.49086806178092957,"a"
"2015111900",2015,11,"JAC",0.625,0.375,0.3047619163990021,1.25,0.46052083373069763,"TEN",0.25,0.125,0.380952388048172,2,0.5158024430274963,"h"
"2015112200",2015,11,"CHI",0.125,0.25,0.5047619342803955,1.75,0.49319443106651306,"DEN",0.75,0.8125,0.6190476417541504,1.75,0.4851161539554596,"a"
"2015112201",2015,11,"DET",0.625,0.4375,0.4000000059604645,1.75,0.5307508707046509,"OAK",0.25,0.4375,0.34285715222358704,1.875,0.4911458194255829,"h"
"2015112202",2015,11,"ATL",0.5,0.5625,0.5809524059295654,2.25,0.5438341498374939,"IND",0.625,0.625,0.6000000238418579,2.375,0.4818560481071472,"a"
"2015112203",2015,11,"HOU",0.75,0.625,0.4952380955219269,1.25,0.5494097471237183,"NYJ",0.5,0.5,0.48571428656578064,1.125,0.526639461517334,"h"
"2015112204",2015,11,"PHI",0.375,0.4375,0.5428571701049805,2.75,0.4345833361148834,"TB",0.375,0.3125,0.32380953431129456,1.875,0.4618305563926697,"a"
"2015112205",2015,11,"MIN",0.875,0.625,0.4761904776096344,1.125,0.4793333113193512,"GB",0.625,0.75,0.6952381134033203,0.625,0.5142360925674438,"a"
"2015112206",2015,11,"CAR",1,0.875,0.48571428656578064,1.375,0.5490467548370361,"WAS",0,0.3125,0.34285715222358704,2.125,0.4703422486782074,"h"
"2015112207",2015,11,"MIA",0.375,0.4375,0.4476190507411957,1.5,0.47475695610046387,"DAL",0.625,0.4375,0.523809552192688,1.375,0.5864120721817017,"a"
"2015112208",2015,11,"BAL",0.5,0.4375,0.6000000238418579,1,0.49034035205841064,"STL",0.25,0.375,0.32380953431129456,1.75,0.47923558950424194,"h"
"2015112209",2015,11,"ARI",0.75,0.6875,0.5333333611488342,1.25,0.5049653053283691,"CIN",0.75,0.6875,0.5904762148857117,1.5,0.5379514098167419,"h"
"2015112210",2015,11,"SEA",0.75,0.6875,0.561904788017273,0.875,0.5142708420753479,"SF",0.125,0.3125,0.5809524059295654,1.125,0.48326388001441956,"h"
"2015112211",2015,11,"SD",0.25,0.25,0.5428571701049805,1.625,0.484270840883255,"KC",0.375,0.5,0.4476190507411957,0.75,0.528333306312561,"a"
"2015112300",2015,11,"NE",0.875,0.875,0.7809523940086365,0.5,0.5072916746139526,"BUF",0.5,0.5625,0.4000000059604645,1.5,0.5055555701255798,"h"
"2015112600",2015,12,"DET",0.625,0.4375,0.40566039085388184,1.625,0.5385980606079102,"PHI",0.375,0.375,0.5377358198165894,1.25,0.4313628077507019,"h"
"2015112601",2015,12,"DAL",0.25,0.4375,0.5283018946647644,1.75,0.5255469083786011,"CAR",0.875,0.9375,0.49056604504585266,0.625,0.5589583516120911,"a"
